occupation,category,code,soccupation
Marine Engineers and Naval Architects,Architecture and Engineering Occupations,1440,Marine Engineers and Naval Architects
Materials Engineers,Architecture and Engineering Occupations,1450,Materials Engineers
Mechanical Engineers,Architecture and Engineering Occupations,1460,Mechanical Engineers
"Petroleum, mining and geological engineers, including mining safety engineers",Architecture and Engineering Occupations,1520,"Petroleum, Mining and Geological Engineers"
Miscellaneous engineeers including nuclear engineers,Architecture and Engineering Occupations,1530,Nuclear and Miscellaneous Engineers
Drafters,Architecture and Engineering Occupations,1540,Drafters
"Engineering Technicians, Except Drafters",Architecture and Engineering Occupations,1550,Engineering Technicians
Surveying and Mapping Technicians,Architecture and Engineering Occupations,1560,Surveying and Mapping Technicians
Agricultural and Food Scientists,"Life, Physical, and Social Science Occupations",1600,Agricultural and Food Scientists
Biological Scientists,"Life, Physical, and Social Science Occupations",1610,Biological Scientists
Conservation Scientists and Foresters,"Life, Physical, and Social Science Occupations",1640,Conservation Scientists and Foresters
"Medical Scientists, and Life Scientists, All Other","Life, Physical, and Social Science Occupations",1650,Medical Scientists and Life Scientists
Astronomers and Physicists,"Life, Physical, and Social Science Occupations",1700,Astronomers and Physicists
Atmospheric and Space Scientists,"Life, Physical, and Social Science Occupations",1710,Atmospheric and Space Scientists
Chemists and Materials Scientists,"Life, Physical, and Social Science Occupations",1720,Chemists and Materials Scientists
Environmental Scientists and Geoscientists,"Life, Physical, and Social Science Occupations",1740,Environmental Scientists and Geoscientists
"Physical Scientists, All Other","Life, Physical, and Social Science Occupations",1760,Other Physical Scientists
Economists,"Life, Physical, and Social Science Occupations",1800,Economists
Market and Survey Researchers,"Life, Physical, and Social Science Occupations",1810,Market and Survey Researchers
Psychologists,"Life, Physical, and Social Science Occupations",1820,Psychologists
"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists","Life, Physical, and Social Science Occupations",1860,Survey Researchers and Sociologists
Urban and Regional Planners,"Life, Physical, and Social Science Occupations",1840,Urban and Regional Planners
Agricultural and Food Science Technicians,"Life, Physical, and Social Science Occupations",1900,Agricultural and Food Science Technicians
Biological Technicians,"Life, Physical, and Social Science Occupations",1910,Biological Technicians
Chemical Technicians,"Life, Physical, and Social Science Occupations",1920,Chemical Technicians
Geological and Petroleum Technicians,"Life, Physical, and Social Science Occupations",1930,Geological and Petroleum Technicians
Nuclear Technicians,"Life, Physical, and Social Science Occupations",1940,Nuclear Technicians
Social Science Research Assistants,"Life, Physical, and Social Science Occupations",1950,Social Science Research Assistants
"Miscellaneous Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Occupations",1965,"Miscellaneous Life, Physical, and Social Science Technicians"
Counselors,Community and Social Services Occupations,2000,Counselors
Social Workers,Community and Social Services Occupations,2010,Social Workers
Probation Officers and Correctional Treatment Specialists,Community and Social Services Occupations,2015,Probation Officers
Social and Human Service Assistants,Community and Social Services Occupations,2016,Social and Human Service Assistants
"Miscellaneous Community and Social Service Specialists, Including Health Educators and Community Health Workers",Community and Social Services Occupations,2025,Health Educators and Community Health Workers
Clergy,Community and Social Services Occupations,2040,Clergy
"Directors, Religious Activities and Education",Community and Social Services Occupations,2050,"Directors, Religious Activities and Education"
"Religious Workers, All Other",Community and Social Services Occupations,2060,Other Religious Workers
Judicial Law Clerks,Legal Occupations,2105,Judicial Law Clerks
"Lawyers, and judges, magistrates, and other judicial workers",Legal Occupations,2100,Lawyers and Judges
Paralegals and Legal Assistants,Legal Occupations,2145,Paralegals and Legal Assistants
Miscellaneous Legal Support Workers,Legal Occupations,2160,Miscellaneous Legal Support Workers
