occupation,category,code,soccupation
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations",6005,"Farming, Fishing, and Forestry Supervisors"
Agricultural Inspectors,"Farming, Fishing, and Forestry Occupations",6010,Agricultural Inspectors
"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry Occupations",6040,"Graders and Sorters, Agricultural Products"
Miscellaneous agricultural workers including animal breeders,"Farming, Fishing, and Forestry Occupations",6050,Miscellaneous Agricultural Workers
Fishing and hunting workers,"Farming, Fishing, and Forestry Occupations",6100,Fishing and Hunting Workers
Forest and Conservation Workers,"Farming, Fishing, and Forestry Occupations",6120,Forest and Conservation Workers
Logging Workers,"Farming, Fishing, and Forestry Occupations",6130,Logging Workers
First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction Occupations,6200,Construction and Extraction Supervisors
Boilermakers,Construction and Extraction Occupations,6210,Boilermakers
"Brickmasons, Blockmasons, and Stonemasons",Construction and Extraction Occupations,6220,"Brickmasons, Blockmasons, and Stonemasons"
Carpenters,Construction and Extraction Occupations,6230,Carpenters
"Carpet, Floor, and Tile Installers and Finishers",Construction and Extraction Occupations,6240,"Carpet, Floor, and Tile Installers and Finishers"
"Cement Masons, Concrete Finishers, and Terrazzo Workers",Construction and Extraction Occupations,6250,Cement Masons and Concrete Finishers
Construction Laborers,Construction and Extraction Occupations,6260,Construction Laborers
"Paving, Surfacing, and Tamping Equipment Operators",Construction and Extraction Occupations,6300,"Paving, Surfacing, and Tamping Equipment Operators"
"Construction equipment operators except paving, surfacing, and tamping equipment operators",Construction and Extraction Occupations,6320,Construction Equipment Operators
"Drywall Installers, Ceiling Tile Installers, and Tapers",Construction and Extraction Occupations,6330,"Drywall Installers, Ceiling Tile Installers, and Tapers"
Electricians,Construction and Extraction Occupations,6355,Electricians
Glaziers,Construction and Extraction Occupations,6360,Glaziers
Insulation Workers,Construction and Extraction Occupations,6400,Insulation Workers
"Painters, Construction and Maintenance",Construction and Extraction Occupations,6420,"Painters, Construction and Maintenance"
Paperhangers,Construction and Extraction Occupations,6430,Paperhangers
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,6440,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
Plasterers and Stucco Masons,Construction and Extraction Occupations,6460,Plasterers and Stucco Masons
Reinforcing Iron and Rebar Workers,Construction and Extraction Occupations,6500,Reinforcing Iron and Rebar Workers
Roofers,Construction and Extraction Occupations,6515,Roofers
Sheet Metal Workers,Construction and Extraction Occupations,6520,Sheet Metal Workers
Structural Iron and Steel Workers,Construction and Extraction Occupations,6530,Structural Iron and Steel Workers
"Helpers, Construction Trades",Construction and Extraction Occupations,6600,Construction Helpers
Construction and Building Inspectors,Construction and Extraction Occupations,6660,Construction and Building Inspectors
Elevator Installers and Repairers,Construction and Extraction Occupations,6700,Elevator Installers and Repairers
Fence Erectors,Construction and Extraction Occupations,6710,Fence Erectors
Hazardous Materials Removal Workers,Construction and Extraction Occupations,6720,Hazardous Materials Removal Workers
Highway Maintenance Workers,Construction and Extraction Occupations,6730,Highway Maintenance Workers
Rail-Track Laying and Maintenance Equipment Operators,Construction and Extraction Occupations,6740,Rail-Track Laying and Maintenance Equipment Operators
"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners",Construction and Extraction Occupations,6765,Miscellaneous Construction Workers
"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",Extraction Workers,6800,"Derrick, Rotary Drill, and Service Unit Operators"
"Earth Drillers, Except Oil and Gas",Extraction Workers,6820,"Earth Drillers, Except Oil and Gas"
"Explosives Workers, Ordnance Handling Experts, and Blasters",Extraction Workers,6830,Explosives Workers
Mining Machine Operators,Extraction Workers,6840,Mining Machine Operators
Miscellaneous extraction workers including roof bolters and helpers,Extraction Workers,6940,Miscellaneous Extraction Workers
"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Workers",7000,"Mechanic, Installer, and Repairer Supervisors"
"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair Workers",7010,Computer and Office Machine Repairers
Radio and Telecommunications Equipment Installers and Repairers,"Installation, Maintenance, and Repair Workers",7020,Telecommunications Equipment Installers and Repairers
Avionics Technicians,"Installation, Maintenance, and Repair Workers",7030,Avionics Technicians
"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair Workers",7040,"Electric Motor, Power Tool, and Related Repairers"
"Electrical and electronics repairers, transportation equipment, and industrial and utility","Installation, Maintenance, and Repair Workers",7100,Electrical and Electronics Repairers
"Electronic Equipment Installers and Repairers, Motor Vehicles","Installation, Maintenance, and Repair Workers",7110,Electronic Motor Vehicle Equipment Installers and Repairers
Electronic Home Entertainment Equipment Installers and Repairers,"Installation, Maintenance, and Repair Workers",7120,Electronic Home Entertainment Equipment Installers and Repairers
Security and Fire Alarm Systems Installers,"Installation, Maintenance, and Repair Workers",7130,Security and Fire Alarm Systems Installers
Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair Workers",7140,Aircraft Mechanics and Service Technicians
Automotive Body and Related Repairers,"Installation, Maintenance, and Repair Workers",7150,Automotive Body Repairers
Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair Workers",7160,Automotive Glass Installers and Repairers
Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair Workers",7200,Automotive Mechanics
Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair Workers",7210,Bus and Truck Mechanics
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"Installation, Maintenance, and Repair Workers",7220,Heavy Vehicle and Mobile Equipment Mechanics
Small Engine Mechanics,"Installation, Maintenance, and Repair Workers",7240,Small Engine Mechanics
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Workers",7260,Miscellaneous Vehicle and Mobile Equipment Mechanics
Control and Valve Installers and Repairers,"Installation, Maintenance, and Repair Workers",7300,Control and Valve Installers and Repairers
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair Workers",7315,"Heating, Air Conditioning, and Refrigeration Mechanics"
Home Appliance Repairers,"Installation, Maintenance, and Repair Workers",7320,Home Appliance Repairers
Industrial and Refractory Machinery Mechanics,"Installation, Maintenance, and Repair Workers",7330,Industrial and Refractory Machinery Mechanics
"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair Workers",7340,General Maintenance and Repair Workers
"Maintenance Workers, Machinery","Installation, Maintenance, and Repair Workers",7350,Machinery Maintenance Workers
Millwrights,"Installation, Maintenance, and Repair Workers",7360,Millwrights
Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair Workers",7410,Electrical Power-Line Installers and Repairers
Telecommunications Line Installers and Repairers,"Installation, Maintenance, and Repair Workers",7420,Telecommunications Line Installers and Repairers
Precision Instrument and Equipment Repairers,"Installation, Maintenance, and Repair Workers",7430,Precision Instrument and Equipment Repairers
"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair Workers",7510,"Coin, Vending, and Amusement Machine Servicers"
"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers","Installation, Maintenance, and Repair Workers",7630,"Other Installation, Maintenance, and Repair Workers"
Locksmiths and Safe Repairers,"Installation, Maintenance, and Repair Workers",7540,Locksmiths and Safe Repairers
Manufactured Building and Mobile Home Installers,"Installation, Maintenance, and Repair Workers",7550,Manufactured Building and Mobile Home Installers
Riggers,"Installation, Maintenance, and Repair Workers",7560,Riggers
"Helpers--Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair Workers",7610,"Installation, Maintenance, and Repair Worker Helpers"
First-Line Supervisors of Production and Operating Workers,Production Occupations,7700,Production and Operating Supervisors
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production Occupations,7710,Aircraft Structure and Systems Assemblers
"Electrical, Electronics, and Electromechanical Assemblers",Production Occupations,7720,"Electrical, Electronics, and Electromechanical Assemblers"
Engine and Other Machine Assemblers,Production Occupations,7730,Engine and Other Machine Assemblers
Structural Metal Fabricators and Fitters,Production Occupations,7740,Structural Metal Fabricators and Fitters
Miscellaneous Assemblers and Fabricators,Production Occupations,7750,Miscellaneous Assemblers and Fabricators
Bakers,Production Occupations,7800,Bakers
"Butchers and Other Meat, Poultry, and Fish Processing Workers",Production Occupations,7810,Butchers
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Production Occupations,7830,Food and Tobacco Roasting Machine Operators
Food Batchmakers,Production Occupations,7840,Food Batchmakers
Food Cooking Machine Operators and Tenders,Production Occupations,7850,Food Cooking Machine Operators
"Food Processing Workers, All Other",Production Occupations,7855,Other Food Processing Workers
Computer Control Programmers and Operators,Production Occupations,7900,Computer Control Programmers and Operators
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,7920,Extruding and Drawing Machine Operators
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,7930,Forging Machine Operators
"Rolling Machine Setters, Operators, and Tenders, metal and Plastic",Production Occupations,7940,Rolling Machine Operators
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,7950,"Cutting, Punching, and Press Machine Operators"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,7960,Drilling and Boring Machine Tool Operators
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,8000,Grinding and Buffing Machine Tool Operators
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,8010,Lathe and Turning Machine Tool Operators
"Miscellaneous metal workers and plastic workers including milling and planing machine setters, and multiple machine tool setters, and lay-out workers",Production Occupations,8220,Miscellaneous Metal and Plastic Workers
Machinists,Production Occupations,8030,Machinists
"Metal Furnace Operators, Tenders, Pourers, and Casters",Production Occupations,8040,Metal Furnace Operators
"Model Makers and Patternmakers, Metal and Plastic",Production Occupations,8060,Model Makers and Patternmakers
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,8100,Molders and Molding Machine Operators
Tool and Die Makers,Production Occupations,8130,Tool and Die Makers
"Welding, Soldering, and Brazing Workers",Production Occupations,8140,"Welding, Soldering, and Brazing Workers"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,8150,Heat Treating Equipment Operators
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,8200,Plating and Coating Machine Operators
"Tool Grinders, Filers, and Sharpeners",Production Occupations,8210,"Tool Grinders, Filers, and Sharpeners"
Print Binding and Finishing Workers,Production Occupations,8256,Print Binding and Finishing Workers
Printing Machine Operators,Production Occupations,8255,Printing Machine Operators
Prepress Technicians and Workers,Production Occupations,8250,Prepress Technicians and Workers
Laundry and Dry-Cleaning Workers,Production Occupations,8300,Laundry and Dry-Cleaning Workers
"Pressers, Textile, Garment, and Related Materials",Production Occupations,8310,Textile Pressers
Sewing Machine Operators,Production Occupations,8320,Sewing Machine Operators
Shoe and Leather Workers and Repairers,Production Occupations,8330,Shoe and Leather Workers
Shoe Machine Operators and Tenders,Production Occupations,8340,Shoe Machine Operators
"Tailors, Dressmakers, and Sewers",Production Occupations,8350,"Tailors, Dressmakers, and Sewers"
"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",Production Occupations,8400,"Textile Bleaching and Dyeing, and Cutting Machine Operators"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Production Occupations,8410,Textile Knitting and Weaving Machine Operators
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Production Occupations,8420,Textile Winding Machine Operators
Upholsterers,Production Occupations,8450,Upholsterers
"Miscellaneous textile, apparel, and furnishings workers except upholsterers",Production Occupations,8460,"Miscellaneous Textile, Apparel, and Furnishings Workers"
Cabinetmakers and Bench Carpenters,Production Occupations,8500,Cabinetmakers and Bench Carpenters
Furniture Finishers,Production Occupations,8510,Furniture Finishers
Miscellaneous woodworkers including model makers and patternmakers,Production Occupations,8550,Miscellaneous woodworkers
"Sawing Machine Setters, Operators, and Tenders, Wood",Production Occupations,8530,Sawing Machine Operators
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Production Occupations,8540,Woodworking Machine Operators
"Power Plant Operators, Distributors, and Dispatchers",Production Occupations,8600,Power Plant Operators
Stationary Engineers and Boiler Operators,Production Occupations,8610,Stationary Engineers and Boiler Operators
Water Wastewater Treatment Plant and System Operators,Production Occupations,8620,Water and Wastewater Treatment Plant Operators
Miscellaneous Plant and System Operators,Production Occupations,8630,Miscellaneous Plant and System Operators
"Chemical Processing Machine Setters, Operators, and Tenders",Production Occupations,8640,Chemical Processing Machine Operators
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",Production Occupations,8650,"Crushing, Polishing, and Blending Workers"
Cutting Workers,Production Occupations,8710,Cutting Workers
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Production Occupations,8720,Extruding and Forming Machine Operators
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Production Occupations,8730,Furnace and Oven Operators
"Inspectors, Testers, Sorters, Samplers, and Weighers",Production Occupations,8740,Product Inspectors
Jewelers and Precious Stone and Metal Workers,Production Occupations,8750,Jewelers
"Medical, Dental, and Ophthalmic Laboratory Technicians",Production Occupations,8760,Medical Laboratory Technicians
Packaging and Filling Machine Operators and Tenders,Production Occupations,8800,Packaging and Filling Machine Operators
Painting Workers,Production Occupations,8810,Painting Workers
Photographic Process Workers and Processing Machine Operators,Production Occupations,8830,Photographic Process Workers
Other production workers including semiconductor processors and cooling and freezing equipment operators,Production Occupations,8965,Other Production Workers
Adhesive Bonding Machine Operators and Tenders,Production Occupations,8850,Adhesive Bonding Machine Operators
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Production Occupations,8860,Cleaning Equipment Operators
Etchers and Engravers,Production Occupations,8910,Etchers and Engravers
"Molders, Shapers, and Casters, Except Metal and Plastic",Production Occupations,8920,"Molders, Shapers, and Casters"
"Paper Goods Machine Setters, Operators, and Tenders",Production Occupations,8930,Paper Goods Machine Operators
Tire Builders,Production Occupations,8940,Tire Builders
Helpers--Production Workers,Production Occupations,8950,Production Worker Helpers
Supervisors of Transportation and Material Moving Workers,Transportation and Material Moving Occupations,9000,Transportation and Material Moving Supervisors
Aircraft Pilots and Flight Engineers,Transportation and Material Moving Occupations,9030,Aircraft Pilots and Flight Engineers
Air Traffic Controllers and Airfield Operations Specialists,Transportation and Material Moving Occupations,9040,Air Traffic Controllers and Airfield Operations Specialists
Flight Attendants,Transportation and Material Moving Occupations,9050,Flight Attendants
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Transportation and Material Moving Occupations,9110,Ambulance Drivers and Attendants
Bus Drivers,Transportation and Material Moving Occupations,9120,Bus Drivers
Driver/Sales Workers and Truck Drivers,Transportation and Material Moving Occupations,9130,Truck Drivers
Taxi Drivers and Chauffeurs,Transportation and Material Moving Occupations,9140,Taxi Drivers and Chauffeurs
"Motor Vehicle Operators, All Other",Transportation and Material Moving Occupations,9150,Other Motor Vehicle Operators
Locomotive Engineers and Operators,Transportation and Material Moving Occupations,9200,Locomotive Engineers
"Railroad Brake, Signal, and Switch Operators",Transportation and Material Moving Occupations,9230,"Railroad Brake, Signal, and Switch Operators"
Railroad Conductors and Yardmasters,Transportation and Material Moving Occupations,9240,Railroad Conductors and Yardmasters
"Subway, Streetcar, and Other Rail Transportation Workers",Transportation and Material Moving Occupations,9260,Subway and Streetcar Workers
"Sailors and marine oilers, and ship engineers",Transportation and Material Moving Occupations,9300,Sailors and Ship Engineers
Ship and Boat Captains and Operators,Transportation and Material Moving Occupations,9310,Ship and Boat Captains
Parking Lot Attendants,Transportation and Material Moving Occupations,9350,Parking Lot Attendants
Automotive and Watercraft Service Attendants,Transportation and Material Moving Occupations,9360,Automotive and Watercraft Service Attendants
Transportation Inspectors,Transportation and Material Moving Occupations,9410,Transportation Inspectors
"Transportation Attendants, Except Flight Attendants",Transportation and Material Moving Occupations,9415,Transportation Attendants
Miscellaneous transportation workers including bridge and lock tenders and traffic technicians,Transportation and Material Moving Occupations,9420,Miscellaneous Transportation Workers
Crane and Tower Operators,Transportation and Material Moving Occupations,9510,Crane and Tower Operators
"Dredge, Excavating, and Loading Machine Operators",Transportation and Material Moving Occupations,9520,"Dredge, Excavating, and Loading Machine Operators"
"Conveyor operators and tenders, and hoist and winch operators",Transportation and Material Moving Occupations,9560,Conveyor Operators
Industrial Truck and Tractor Operators,Transportation and Material Moving Occupations,9600,Industrial Truck and Tractor Operators
Cleaners of Vehicles and Equipment,Transportation and Material Moving Occupations,9610,Cleaners of Vehicles and Equipment
"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving Occupations,9620,Laborers
Machine Feeders and Offbearers,Transportation and Material Moving Occupations,9630,Machine Feeders and Offbearers
"Packers and Packagers, Hand",Transportation and Material Moving Occupations,9640,Hand Packers and Packagers
Pumping Station Operators,Transportation and Material Moving Occupations,9650,Pumping Station Operators
Refuse and Recyclable Material Collectors,Transportation and Material Moving Occupations,9720,Refuse and Recyclable Material Collectors
"Miscellaneous material moving workers including shuttle car operators, and tank car, truck, and ship loaders",Transportation and Material Moving Occupations,9750,Miscellaneous Material Moving Workers
Military Officer Special and Tactical Operations Leaders,Military Specific Occupations,9800,Military Officers
First-Line Enlisted Military Supervisors,Military Specific Occupations,9810,Enlisted Military Supervisors
Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Specific Occupations,9820,Enlisted Military
"Military, Rank Not Specified",Military Specific Occupations,9830,"Military, Rank Not Specified"
"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",Military Specific Occupations,9920,"Unemployed, with No Work Experience in the Last 5 Years"
